Time(s),Reference(C),Temperature(C),Control_Total(%),Base_NMPC(%),Residual_SAC(%)
315.0,40.77585271554666,39.01,12.99247471247157,21.273884452919567,-8.281409740447998
316.0,40.77585271554666,39.203,13.117919839958752,21.273884452919567,-8.155964612960815
317.0,40.77585271554666,39.235,12.851436115841473,21.273884452919567,-8.422448337078094
318.0,40.77585271554666,39.171,12.701162673573101,21.273884452919567,-8.572721779346466
319.0,40.77585271554666,39.203,12.734654523472393,21.273884452919567,-8.539229929447174
320.0,40.77585271554666,39.332,12.773569799999798,21.273884452919567,-8.50031465291977
321.0,40.77585271554666,39.3,12.627474345306958,21.273884452919567,-8.64641010761261
322.0,40.77585271554666,39.203,12.560813404659832,21.273884452919567,-8.713071048259735
323.0,40.77585271554666,39.268,12.642366863827313,21.273884452919567,-8.631517589092255
324.0,40.77585271554666,39.364,12.598603047470654,21.273884452919567,-8.675281405448914
325.0,40.77585271554666,39.3,12.467676378826702,21.273884452919567,-8.806208074092865
326.0,40.77585271554666,39.3,12.458030261139477,21.273884452919567,-8.81585419178009
327.0,40.77585271554666,39.3,12.4451869503065,21.273884452919567,-8.828697502613068
328.0,40.77585271554666,39.3,12.454130329231823,21.273884452919567,-8.819754123687744
329.0,40.77585271554666,39.332,12.430544771294201,21.273884452919567,-8.843339681625366
330.0,40.77585271554666,39.3,12.404489792923535,21.273884452919567,-8.869394659996033
331.0,40.77585271554666,39.268,12.364895917515362,21.273884452919567,-8.908988535404205
332.0,40.77585271554666,39.3,12.337468542198742,21.273884452919567,-8.936415910720825
333.0,40.77585271554666,39.364,12.315080143551434,21.273884452919567,-8.958804309368134
334.0,40.77585271554666,39.364,12.27861014757594,21.273884452919567,-8.995274305343628
335.0,40.77585271554666,39.461,12.247798718552197,21.273884452919567,-9.02608573436737
336.0,40.77585271554666,39.396,12.033584095577801,21.273884452919567,-9.240300357341766
337.0,40.77585271554666,39.429,12.098970986942852,21.273884452919567,-9.174913465976715
338.0,40.77585271554666,39.461,12.112326599697674,21.273884452919567,-9.161557853221893
339.0,40.77585271554666,39.396,11.970706857781018,21.273884452919567,-9.30317759513855
340.0,40.77585271554666,39.525,12.054628707508648,21.273884452919567,-9.21925574541092
341.0,40.77585271554666,39.461,11.837272323708142,21.273884452919567,-9.436612129211426
342.0,40.77585271554666,39.493,11.900210358242596,21.273884452919567,-9.373674094676971
343.0,40.77585271554666,39.687,11.803991474251355,21.273884452919567,-9.469892978668213
344.0,40.77585271554666,39.622,11.418279983143414,21.273884452919567,-9.855604469776154
345.0,40.77585271554666,39.525,11.60330770168742,21.273884452919567,-9.670576751232147
